Type,ShippingMode,ProductPrice,LateDeliveryRisk,CategoryName,CustomerSegment,OrderItemQuantity,OrderRegion,ShippingMonthName,is_outlier,Type_index,ShippingMode_index,CategoryName_index,CustomerSegment_index,OrderRegion_index,ShippingMonthName_index
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,0.0,5.0,0.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,2.0,0.0,5.0,0.0,6.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,2.0,0.0,5.0,0.0,6.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Southern Europe,August,0,2.0,0.0,5.0,2.0,6.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Southern Europe,August,0,2.0,0.0,5.0,2.0,6.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,1.0,0.0,5.0,0.0,4.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,1.0,0.0,5.0,0.0,4.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,2.0,0.0,5.0,0.0,6.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,2.0,0.0,5.0,1.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,1.0,0.0,5.0,1.0,1.0,4.0
TRANSFER,Second Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,1.0,1.0,5.0,0.0,4.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,1.0,0.0,5.0,0.0,4.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Corporate,1,Northern Europe,August,0,3.0,0.0,5.0,1.0,4.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,0.0,5.0,0.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,0.0,0.0,5.0,2.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,0.0,0.0,5.0,2.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,3.0,0.0,5.0,1.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,2.0,0.0,5.0,0.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,0.0,0.0,5.0,0.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Southern Europe,August,0,1.0,0.0,5.0,1.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Northern Europe,August,0,0.0,0.0,5.0,2.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Northern Europe,August,0,0.0,0.0,5.0,2.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,0.0,0.0,5.0,2.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,0.0,0.0,5.0,0.0,6.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,1.0,0.0,5.0,1.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Southern Europe,August,0,2.0,0.0,5.0,2.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
DEBIT,Second Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,0.0,1.0,5.0,2.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,1.0,0.0,5.0,0.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Southern Europe,August,0,0.0,0.0,5.0,1.0,6.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,1.0,0.0,5.0,1.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,3.0,0.0,5.0,1.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,1.0,0.0,5.0,1.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Second Class,199.9900055,0,Water Sports,Corporate,1,Northern Europe,August,0,0.0,1.0,5.0,1.0,4.0,4.0
CASH,Second Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,3.0,1.0,5.0,0.0,6.0,4.0
CASH,Second Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,3.0,1.0,5.0,0.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,0.0,0.0,5.0,2.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,1.0,0.0,5.0,0.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,3.0,0.0,5.0,1.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,3.0,0.0,5.0,1.0,1.0,4.0
DEBIT,Second Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,1.0,5.0,0.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,3.0,0.0,5.0,0.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,0.0,0.0,5.0,0.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Southern Europe,August,0,0.0,0.0,5.0,1.0,6.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Northern Europe,August,0,1.0,0.0,5.0,1.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Northern Europe,August,0,0.0,0.0,5.0,2.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
TRANSFER,Same Day,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,1.0,3.0,5.0,2.0,1.0,4.0
PAYMENT,Same Day,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,3.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Second Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,0.0,1.0,5.0,0.0,4.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,0.0,5.0,0.0,1.0,4.0
CASH,Second Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,3.0,1.0,5.0,0.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,0.0,5.0,0.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,0.0,0.0,5.0,0.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,0.0,0.0,5.0,2.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,3.0,0.0,5.0,0.0,4.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Northern Europe,August,0,1.0,0.0,5.0,1.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Southern Europe,August,0,0.0,0.0,5.0,1.0,6.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,0.0,5.0,0.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,2.0,0.0,5.0,0.0,1.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
PAYMENT,Second Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,2.0,1.0,5.0,2.0,1.0,4.0
DEBIT,Same Day,199.9900055,0,Water Sports,Home Office,1,Northern Europe,August,0,0.0,3.0,5.0,2.0,4.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Corporate,1,Southern Europe,August,0,3.0,0.0,5.0,1.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,0.0,0.0,5.0,0.0,4.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,2.0,0.0,5.0,1.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,1.0,0.0,5.0,0.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,0.0,0.0,5.0,0.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Southern Europe,August,0,0.0,0.0,5.0,2.0,6.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Southern Europe,August,0,0.0,0.0,5.0,2.0,6.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,August,0,2.0,0.0,5.0,0.0,6.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,1.0,0.0,5.0,2.0,1.0,4.0
TRANSFER,Second Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,1.0,5.0,0.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,1.0,0.0,5.0,1.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,2.0,0.0,5.0,0.0,4.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,August,0,2.0,0.0,5.0,2.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,1.0,0.0,5.0,1.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,3.0,0.0,5.0,0.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,0.0,0.0,5.0,0.0,4.0,4.0
CASH,Second Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,3.0,1.0,5.0,0.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Northern Europe,August,0,2.0,0.0,5.0,1.0,4.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,August,0,1.0,0.0,5.0,0.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Northern Europe,August,0,0.0,0.0,5.0,1.0,4.0,4.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Northern Europe,July,0,0.0,0.0,5.0,2.0,4.0,1.0
DEBIT,Second Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,0.0,1.0,5.0,2.0,1.0,1.0
DEBIT,Second Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,0.0,1.0,5.0,2.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,0.0,0.0,5.0,0.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,July,0,2.0,0.0,5.0,0.0,6.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,0.0,0.0,5.0,0.0,1.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,1.0,0.0,5.0,0.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,0.0,0.0,5.0,0.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,0.0,0.0,5.0,1.0,1.0,4.0
CASH,Second Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,3.0,1.0,5.0,0.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,0.0,0.0,5.0,0.0,1.0,1.0
TRANSFER,Same Day,199.9900055,0,Water Sports,Home Office,1,Northern Europe,July,0,1.0,3.0,5.0,2.0,4.0,1.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,August,0,2.0,0.0,5.0,1.0,1.0,4.0
CASH,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,3.0,0.0,5.0,0.0,1.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,1.0,0.0,5.0,2.0,1.0,1.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,2.0,0.0,5.0,0.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,0.0,0.0,5.0,0.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,0.0,0.0,5.0,0.0,1.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,0.0,5.0,0.0,1.0,4.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,August,0,1.0,0.0,5.0,0.0,1.0,4.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,2.0,0.0,5.0,2.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,0.0,0.0,5.0,0.0,1.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,July,0,1.0,0.0,5.0,0.0,6.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,July,0,1.0,0.0,5.0,0.0,6.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,July,0,1.0,0.0,5.0,0.0,6.0,1.0
TRANSFER,Same Day,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,1.0,3.0,5.0,2.0,1.0,1.0
TRANSFER,Same Day,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,1.0,3.0,5.0,2.0,1.0,1.0
PAYMENT,Same Day,199.9900055,0,Water Sports,Corporate,1,Western Europe,July,0,2.0,3.0,5.0,1.0,1.0,1.0
CASH,Same Day,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,3.0,3.0,5.0,2.0,1.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,1.0,0.0,5.0,0.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,July,0,0.0,0.0,5.0,1.0,1.0,1.0
CASH,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,3.0,0.0,5.0,0.0,1.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,1.0,0.0,5.0,0.0,1.0,1.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Northern Europe,July,0,2.0,0.0,5.0,2.0,4.0,1.0
PAYMENT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Western Europe,July,0,2.0,0.0,5.0,0.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Corporate,1,Western Europe,July,0,0.0,0.0,5.0,1.0,1.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Consumer,1,Southern Europe,July,0,1.0,0.0,5.0,0.0,6.0,1.0
PAYMENT,Second Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,2.0,1.0,5.0,2.0,1.0,1.0
PAYMENT,Second Class,199.9900055,0,Water Sports,Home Office,1,Western Europe,July,0,2.0,1.0,5.0,2.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Consumer,1,Northern Europe,July,0,0.0,0.0,5.0,0.0,4.0,1.0
TRANSFER,Standard Class,199.9900055,0,Water Sports,Corporate,1,Southern Europe,July,0,1.0,0.0,5.0,1.0,6.0,1.0
TRANSFER,Same Day,199.9900055,0,Water Sports,Corporate,1,Western Europe,July,0,1.0,3.0,5.0,1.0,1.0,1.0
TRANSFER,Same Day,199.9900055,0,Water Sports,Corporate,1,Western Europe,July,0,1.0,3.0,5.0,1.0,1.0,1.0
DEBIT,Standard Class,199.9900055,0,Water Sports,Home Office,1,Northern Europe,July,0,0.0,0.0,5.0,2.0,4.0,1.0
